sale_id,sale_date,store_id,product_id,quantity
1,30-09-2022,51,140,12
2,06-05-2021,65,196,10
3,12-05-2021,65,48,8
4,13-04-2022,99,862,7
5,11-07-2022,74,468,1
6,17-12-2021,27,108,8
7,24-11-2022,24,315,10
8,14-06-2024,99,934,3
9,01-03-2022,71,352,19
10,21-09-2022,29,494,10
11,06-08-2022,45,650,9
12,16-12-2024,80,341,16
13,13-03-2023,40,312,19
14,06-01-2022,43,567,11
15,06-04-2021,92,374,7
16,08-02-2022,66,854,12
17,05-03-2024,12,824,5
18,13-08-2024,15,194,16
19,31-05-2024,91,681,16
20,25-11-2023,86,492,16
21,08-05-2021,29,41,10
22,25-06-2024,16,523,16
23,29-05-2021,48,44,17
24,25-08-2022,61,158,2
25,04-06-2021,64,58,13
26,14-12-2023,85,555,5
27,28-10-2021,97,952,15
28,26-07-2023,37,61,4
29,28-12-2024,47,301,6
30,12-10-2022,83,928,13
31,08-12-2024,87,695,8
32,05-03-2021,33,875,1
33,05-03-2023,8,217,1
34,12-10-2022,22,704,6
35,26-05-2021,48,962,14
36,16-09-2022,20,951,11
37,18-03-2024,23,1,1
38,15-07-2023,18,696,19
39,09-06-2022,93,830,20
40,14-12-2023,63,570,17
41,22-10-2021,35,814,13
42,23-10-2022,80,865,12
43,24-11-2020,26,934,5
44,26-05-2022,79,950,11
45,29-09-2021,26,885,4
46,26-06-2020,98,390,4
47,15-05-2021,13,657,13
48,10-08-2024,15,143,14
49,20-02-2023,71,188,3
50,11-08-2022,22,992,7
51,20-07-2023,37,764,18
52,24-07-2020,42,656,1
53,14-07-2024,55,922,20
54,06-02-2020,9,167,7
55,08-06-2020,20,160,13
56,06-11-2021,26,989,8
57,22-05-2023,21,141,8
58,14-12-2022,13,946,18
59,18-02-2021,69,859,10
60,23-08-2023,13,33,5
61,08-11-2023,89,991,9
62,05-06-2020,66,978,3
63,22-05-2020,13,802,16
64,26-06-2022,38,717,17
65,14-04-2022,15,924,3
66,10-01-2024,30,268,13
67,15-03-2023,3,390,20
68,26-05-2020,43,660,4
69,19-04-2020,66,456,2
70,02-02-2021,97,900,7
71,01-08-2024,19,317,15
72,09-10-2020,74,457,13
73,02-04-2023,12,199,3
74,12-01-2023,75,674,5
75,03-06-2021,71,328,9
76,29-05-2023,10,255,18
77,28-04-2024,75,20,14
78,23-11-2023,27,239,18
79,24-07-2024,98,71,13
80,16-11-2021,57,781,5
81,03-06-2023,58,416,4
82,27-06-2022,61,319,6
83,24-08-2023,16,286,20
84,19-03-2023,15,242,1
85,26-04-2023,78,166,4
86,25-11-2022,3,340,12
87,25-07-2022,53,19,15
88,21-05-2020,83,518,20
89,03-03-2021,53,299,7
90,18-02-2022,34,115,15
91,25-02-2021,96,4,7
92,06-11-2024,78,577,4
93,15-12-2023,83,909,16
94,28-02-2020,50,455,20
95,29-01-2024,79,558,17
96,18-07-2022,58,581,1
97,27-10-2024,12,110,17
98,27-08-2021,56,213,6
99,28-05-2024,33,402,8
100,01-04-2023,90,86,6
