store_id,store_name,city,country
1,Store_1,Hyderabad,India
2,Store_2,Mumbai,India
3,Store_3,London,UK
4,Store_4,Sapporo,Japan
5,Store_5,Chennai,India
6,Store_6,Bangalore,India
7,Store_7,Chicago,USA
8,Store_8,New York,USA
9,Store_9,Los Angeles,USA
10,Store_10,Birmingham,UK
11,Store_11,Manchester,UK
12,Store_12,Chicago,USA
13,Store_13,Chennai,India
14,Store_14,New York,USA
15,Store_15,Bangalore,India
16,Store_16,Phoenix,USA
17,Store_17,Nagoya,Japan
18,Store_18,Chicago,USA
19,Store_19,Los Angeles,USA
20,Store_20,Mumbai,India
21,Store_21,Mumbai,India
22,Store_22,Tokyo,Japan
23,Store_23,Mumbai,India
24,Store_24,Bangalore,India
25,Store_25,Phoenix,USA
26,Store_26,Chicago,USA
27,Store_27,Kyoto,Japan
28,Store_28,Hyderabad,India
29,Store_29,Osaka,Japan
30,Store_30,Nagoya,Japan
31,Store_31,Kyoto,Japan
32,Store_32,Houston,USA
33,Store_33,Sapporo,Japan
34,Store_34,Osaka,Japan
35,Store_35,Mumbai,India
36,Store_36,Delhi,India
37,Store_37,Manchester,UK
38,Store_38,Houston,USA
39,Store_39,Osaka,Japan
40,Store_40,Kyoto,Japan
41,Store_41,Kyoto,Japan
42,Store_42,Mumbai,India
43,Store_43,Birmingham,UK
44,Store_44,Chennai,India
45,Store_45,Tokyo,Japan
46,Store_46,Tokyo,Japan
47,Store_47,Bangalore,India
48,Store_48,London,UK
49,Store_49,Birmingham,UK
50,Store_50,New York,USA
51,Store_51,Mumbai,India
52,Store_52,Mumbai,India
53,Store_53,Kyoto,Japan
54,Store_54,Osaka,Japan
55,Store_55,Chennai,India
56,Store_56,Glasgow,UK
57,Store_57,Glasgow,UK
58,Store_58,Los Angeles,USA
59,Store_59,Hyderabad,India
60,Store_60,New York,USA
61,Store_61,Liverpool,UK
62,Store_62,Houston,USA
63,Store_63,Nagoya,Japan
64,Store_64,Nagoya,Japan
65,Store_65,Manchester,UK
66,Store_66,Nagoya,Japan
67,Store_67,Liverpool,UK
68,Store_68,Tokyo,Japan
69,Store_69,Birmingham,UK
70,Store_70,Sapporo,Japan
71,Store_71,Liverpool,UK
72,Store_72,Chennai,India
73,Store_73,Delhi,India
74,Store_74,Kyoto,Japan
75,Store_75,Chicago,USA
76,Store_76,Osaka,Japan
77,Store_77,Sapporo,Japan
78,Store_78,London,UK
79,Store_79,Osaka,Japan
80,Store_80,Liverpool,UK
81,Store_81,London,UK
82,Store_82,Nagoya,Japan
83,Store_83,Bangalore,India
84,Store_84,Osaka,Japan
85,Store_85,New York,USA
86,Store_86,Chennai,India
87,Store_87,Mumbai,India
88,Store_88,Houston,USA
89,Store_89,Mumbai,India
90,Store_90,Bangalore,India
91,Store_91,Los Angeles,USA
92,Store_92,Sapporo,Japan
93,Store_93,Liverpool,UK
94,Store_94,Kyoto,Japan
95,Store_95,Liverpool,UK
96,Store_96,Manchester,UK
97,Store_97,Chicago,USA
98,Store_98,Hyderabad,India
99,Store_99,Liverpool,UK
100,Store_100,Nagoya,Japan
101,Store_101,Manchester,UK
102,Store_102,Chicago,USA
103,Store_103,Glasgow,UK
104,Store_104,Glasgow,UK
105,Store_105,Sapporo,Japan
106,Store_106,Liverpool,UK
107,Store_107,Phoenix,USA
108,Store_108,Osaka,Japan
109,Store_109,Tokyo,Japan
110,Store_110,Los Angeles,USA
111,Store_111,Nagoya,Japan
112,Store_112,Hyderabad,India
113,Store_113,Hyderabad,India
114,Store_114,Tokyo,Japan
115,Store_115,Osaka,Japan
116,Store_116,Sapporo,Japan
117,Store_117,Hyderabad,India
118,Store_118,Los Angeles,USA
119,Store_119,Mumbai,India
120,Store_120,Hyderabad,India
121,Store_121,Hyderabad,India
122,Store_122,Glasgow,UK
123,Store_123,Chennai,India
124,Store_124,Manchester,UK
125,Store_125,Bangalore,India
126,Store_126,Liverpool,UK
127,Store_127,Delhi,India
128,Store_128,Liverpool,UK
129,Store_129,Chennai,India
130,Store_130,Nagoya,Japan
131,Store_131,Manchester,UK
132,Store_132,Liverpool,UK
133,Store_133,Liverpool,UK
134,Store_134,Hyderabad,India
135,Store_135,Liverpool,UK
136,Store_136,Houston,USA
137,Store_137,Phoenix,USA
138,Store_138,New York,USA
139,Store_139,Chicago,USA
140,Store_140,Phoenix,USA
141,Store_141,Phoenix,USA
142,Store_142,Mumbai,India
143,Store_143,Phoenix,USA
144,Store_144,London,UK
145,Store_145,Delhi,India
146,Store_146,Phoenix,USA
147,Store_147,Liverpool,UK
148,Store_148,Tokyo,Japan
149,Store_149,Mumbai,India
150,Store_150,Nagoya,Japan
151,Store_151,Liverpool,UK
152,Store_152,Chennai,India
153,Store_153,Chicago,USA
154,Store_154,New York,USA
155,Store_155,London,UK
156,Store_156,Hyderabad,India
157,Store_157,Los Angeles,USA
158,Store_158,Mumbai,India
159,Store_159,Osaka,Japan
160,Store_160,Mumbai,India
161,Store_161,Osaka,Japan
162,Store_162,Nagoya,Japan
163,Store_163,New York,USA
164,Store_164,London,UK
165,Store_165,Delhi,India
166,Store_166,London,UK
167,Store_167,Chicago,USA
168,Store_168,Sapporo,Japan
169,Store_169,Glasgow,UK
170,Store_170,Chicago,USA
171,Store_171,Houston,USA
172,Store_172,Los Angeles,USA
173,Store_173,Chicago,USA
174,Store_174,London,UK
175,Store_175,Houston,USA
176,Store_176,Bangalore,India
177,Store_177,Bangalore,India
178,Store_178,Phoenix,USA
179,Store_179,Delhi,India
180,Store_180,Los Angeles,USA
181,Store_181,Bangalore,India
182,Store_182,Bangalore,India
183,Store_183,Birmingham,UK
184,Store_184,Liverpool,UK
185,Store_185,Chicago,USA
186,Store_186,Osaka,Japan
187,Store_187,Bangalore,India
188,Store_188,New York,USA
189,Store_189,New York,USA
190,Store_190,Chennai,India
191,Store_191,Los Angeles,USA
192,Store_192,Bangalore,India
193,Store_193,Chicago,USA
194,Store_194,Glasgow,UK
195,Store_195,Sapporo,Japan
196,Store_196,Tokyo,Japan
197,Store_197,Nagoya,Japan
198,Store_198,Nagoya,Japan
199,Store_199,Mumbai,India
200,Store_200,Mumbai,India
201,Store_201,Kyoto,Japan
202,Store_202,Delhi,India
203,Store_203,Delhi,India
204,Store_204,Mumbai,India
205,Store_205,Liverpool,UK
206,Store_206,Birmingham,UK
207,Store_207,Bangalore,India
208,Store_208,Kyoto,Japan
209,Store_209,Chennai,India
210,Store_210,Nagoya,Japan
211,Store_211,Manchester,UK
212,Store_212,Bangalore,India
213,Store_213,Liverpool,UK
214,Store_214,Bangalore,India
215,Store_215,Tokyo,Japan
216,Store_216,Chennai,India
217,Store_217,Bangalore,India
218,Store_218,Phoenix,USA
219,Store_219,Chennai,India
220,Store_220,Chennai,India
221,Store_221,Manchester,UK
222,Store_222,Bangalore,India
223,Store_223,Kyoto,Japan
224,Store_224,Glasgow,UK
225,Store_225,Birmingham,UK
226,Store_226,Houston,USA
227,Store_227,Birmingham,UK
228,Store_228,Chennai,India
229,Store_229,Tokyo,Japan
230,Store_230,Phoenix,USA
231,Store_231,Delhi,India
232,Store_232,Phoenix,USA
233,Store_233,Mumbai,India
234,Store_234,Los Angeles,USA
235,Store_235,Houston,USA
236,Store_236,Chennai,India
237,Store_237,Phoenix,USA
238,Store_238,Sapporo,Japan
239,Store_239,Houston,USA
240,Store_240,Kyoto,Japan
241,Store_241,Mumbai,India
242,Store_242,Phoenix,USA
243,Store_243,London,UK
244,Store_244,Tokyo,Japan
245,Store_245,Manchester,UK
246,Store_246,Chennai,India
247,Store_247,Mumbai,India
248,Store_248,Chicago,USA
249,Store_249,Chicago,USA
250,Store_250,Mumbai,India
251,Store_251,Bangalore,India
252,Store_252,Birmingham,UK
253,Store_253,Mumbai,India
254,Store_254,Osaka,Japan
255,Store_255,New York,USA
256,Store_256,Hyderabad,India
257,Store_257,Phoenix,USA
258,Store_258,Hyderabad,India
259,Store_259,New York,USA
260,Store_260,Hyderabad,India
261,Store_261,Glasgow,UK
262,Store_262,Houston,USA
263,Store_263,Mumbai,India
264,Store_264,Liverpool,UK
265,Store_265,Nagoya,Japan
266,Store_266,Liverpool,UK
267,Store_267,Mumbai,India
268,Store_268,Kyoto,Japan
269,Store_269,Chennai,India
270,Store_270,Bangalore,India
271,Store_271,Birmingham,UK
272,Store_272,Liverpool,UK
273,Store_273,Mumbai,India
274,Store_274,Delhi,India
275,Store_275,Osaka,Japan
276,Store_276,Nagoya,Japan
277,Store_277,Chicago,USA
278,Store_278,Glasgow,UK
279,Store_279,Phoenix,USA
280,Store_280,Chicago,USA
281,Store_281,Los Angeles,USA
282,Store_282,New York,USA
283,Store_283,London,UK
284,Store_284,Kyoto,Japan
285,Store_285,Delhi,India
286,Store_286,Nagoya,Japan
287,Store_287,Glasgow,UK
288,Store_288,London,UK
289,Store_289,Glasgow,UK
290,Store_290,Mumbai,India
291,Store_291,Hyderabad,India
292,Store_292,Liverpool,UK
293,Store_293,Chicago,USA
294,Store_294,Houston,USA
295,Store_295,Houston,USA
296,Store_296,Liverpool,UK
297,Store_297,Hyderabad,India
298,Store_298,Manchester,UK
299,Store_299,Tokyo,Japan
300,Store_300,Manchester,UK
301,Store_301,Osaka,Japan
302,Store_302,Osaka,Japan
303,Store_303,Delhi,India
304,Store_304,Osaka,Japan
305,Store_305,Kyoto,Japan
306,Store_306,Manchester,UK
307,Store_307,Hyderabad,India
308,Store_308,Bangalore,India
309,Store_309,Kyoto,Japan
310,Store_310,London,UK
311,Store_311,Tokyo,Japan
312,Store_312,Hyderabad,India
313,Store_313,New York,USA
314,Store_314,New York,USA
315,Store_315,Hyderabad,India
316,Store_316,Sapporo,Japan
317,Store_317,Glasgow,UK
318,Store_318,Liverpool,UK
319,Store_319,Tokyo,Japan
320,Store_320,Houston,USA
321,Store_321,Manchester,UK
322,Store_322,Osaka,Japan
323,Store_323,New York,USA
324,Store_324,Phoenix,USA
325,Store_325,Birmingham,UK
326,Store_326,Chicago,USA
327,Store_327,Nagoya,Japan
328,Store_328,Tokyo,Japan
329,Store_329,London,UK
330,Store_330,Osaka,Japan
331,Store_331,Mumbai,India
332,Store_332,Houston,USA
333,Store_333,Phoenix,USA
334,Store_334,London,UK
335,Store_335,Osaka,Japan
336,Store_336,Glasgow,UK
337,Store_337,Glasgow,UK
338,Store_338,Manchester,UK
339,Store_339,Osaka,Japan
340,Store_340,New York,USA
341,Store_341,Los Angeles,USA
342,Store_342,Tokyo,Japan
343,Store_343,Chennai,India
344,Store_344,Sapporo,Japan
345,Store_345,Birmingham,UK
346,Store_346,Phoenix,USA
347,Store_347,Birmingham,UK
348,Store_348,Sapporo,Japan
349,Store_349,Liverpool,UK
350,Store_350,Liverpool,UK
351,Store_351,Nagoya,Japan
352,Store_352,Mumbai,India
353,Store_353,Hyderabad,India
354,Store_354,Houston,USA
355,Store_355,London,UK
356,Store_356,Birmingham,UK
357,Store_357,Osaka,Japan
358,Store_358,Mumbai,India
359,Store_359,Tokyo,Japan
360,Store_360,Tokyo,Japan
361,Store_361,Manchester,UK
362,Store_362,London,UK
363,Store_363,Osaka,Japan
364,Store_364,Los Angeles,USA
365,Store_365,Tokyo,Japan
366,Store_366,Kyoto,Japan
367,Store_367,Tokyo,Japan
368,Store_368,Manchester,UK
369,Store_369,Osaka,Japan
