claim_id,claim_date,sale_id,repair_status
1,20-08-2022,489,Warranty Void
2,14-05-2021,1116,Rejected
3,30-09-2022,3090,Rejected
4,19-12-2022,1554,Rejected
5,01-06-2020,1822,Pending
6,21-06-2022,2805,Repaired
7,19-02-2020,1802,Pending
8,22-11-2024,252,Rejected
9,15-09-2021,903,Rejected
10,08-12-2020,3235,Pending
11,14-02-2024,4635,Repaired
12,23-02-2022,4832,Repaired
13,25-10-2024,2162,Paid
14,13-06-2024,1876,Rejected
15,04-02-2024,3997,Repaired
16,13-12-2023,3124,Paid
17,04-01-2020,3172,Paid
18,28-11-2021,1225,Repaired
19,07-11-2023,4490,Rejected
20,07-06-2022,11,Pending
21,01-09-2024,3755,Repaired
22,10-02-2023,258,Rejected
23,26-07-2022,2873,Rejected
24,12-10-2020,408,Rejected
25,30-01-2022,377,Pending
26,15-01-2020,586,Pending
27,02-12-2020,1395,Paid
28,03-11-2023,1375,Pending
29,29-08-2022,997,Paid
30,13-04-2023,1985,Repaired
31,15-05-2023,1474,Pending
32,15-12-2020,3927,Repaired
33,20-12-2020,4605,Paid
34,21-02-2021,4130,Paid
35,20-07-2020,4123,Pending
36,04-12-2024,4987,Pending
37,04-06-2024,4603,Repaired
38,02-09-2023,4443,Rejected
39,28-06-2023,1770,Warranty Void
40,11-02-2022,2415,Paid
41,14-06-2021,291,Paid
42,26-02-2022,3206,Pending
43,11-02-2022,395,Pending
44,26-09-2023,2741,Rejected
45,05-02-2021,4315,Warranty Void
46,15-03-2020,4406,Repaired
47,30-04-2020,2144,Paid
48,30-04-2023,1989,Repaired
49,06-11-2024,606,Repaired
50,29-10-2020,1028,Rejected
51,15-09-2020,2070,Rejected
52,19-02-2021,921,Repaired
53,10-11-2021,1152,Rejected
54,11-09-2023,681,Pending
55,18-06-2023,1439,Repaired
56,10-06-2024,1606,Pending
57,28-05-2024,3264,Paid
58,11-08-2024,2314,Repaired
59,02-04-2022,4032,Rejected
60,29-02-2024,3818,Pending
61,06-11-2022,4180,Paid
62,19-04-2023,2829,Paid
63,01-06-2021,4278,Paid
64,29-12-2024,4651,Repaired
65,17-04-2024,3263,Paid
66,17-05-2021,4015,Pending
67,30-10-2022,2204,Paid
68,04-09-2024,877,Pending
69,23-09-2020,2249,Paid
70,28-04-2023,1678,Repaired
71,26-10-2022,3560,Paid
72,12-09-2024,1755,Rejected
73,13-10-2024,3915,Pending
74,22-03-2020,1745,Warranty Void
75,11-03-2023,334,Warranty Void
76,26-02-2023,4451,Repaired
77,12-06-2022,415,Repaired
78,28-08-2020,3388,Repaired
79,20-02-2020,2667,Paid
80,06-10-2022,4277,Rejected
81,15-08-2023,2837,Paid
82,05-07-2022,4761,Repaired
83,09-02-2022,4440,Repaired
84,29-05-2024,4373,Repaired
85,14-12-2024,2330,Repaired
86,20-05-2024,4135,Repaired
87,05-09-2020,4087,Paid
88,22-09-2020,708,Warranty Void
89,24-12-2023,464,Pending
90,17-05-2022,3035,Repaired
91,31-05-2022,3638,Rejected
92,27-06-2024,1291,Repaired
93,29-02-2020,2642,Repaired
94,07-11-2023,4772,Paid
95,31-12-2020,3250,Paid
96,13-08-2023,4789,Repaired
97,14-11-2024,2713,Repaired
98,27-10-2024,2823,Repaired
99,08-05-2024,3109,Rejected
100,26-04-2022,4500,Warranty Void
101,21-04-2022,3492,Repaired
102,04-03-2021,4499,Repaired
103,25-04-2021,3088,Rejected
104,16-10-2021,1952,Warranty Void
105,22-11-2024,3799,Repaired
106,22-11-2024,233,Pending
107,16-05-2020,1899,Paid
108,11-07-2022,1312,Repaired
109,03-08-2024,1668,Warranty Void
110,26-04-2023,3005,Rejected
111,29-11-2023,1309,Rejected
112,31-01-2021,56,Paid
113,23-05-2020,1058,Repaired
114,07-12-2023,1152,Repaired
115,11-01-2021,1852,Paid
116,12-09-2023,2780,Pending
117,03-06-2021,2611,Rejected
118,23-05-2023,1673,Paid
119,28-12-2023,3176,Pending
120,14-01-2020,1636,Repaired
121,26-11-2023,2395,Paid
122,28-01-2023,4297,Rejected
123,22-01-2022,2936,Pending
124,16-03-2020,2267,Repaired
125,21-03-2023,343,Repaired
126,01-02-2022,965,Paid
127,11-10-2020,342,Rejected
128,23-03-2023,4189,Repaired
129,24-09-2023,4969,Repaired
